delta_t,2U,nu,U/U,nu/nu,phi,dt,dnu,dU,dU/U,dnu/nu,dphi
75.8,6.44,5.55,0.31262136,0.86046512,-2.6432732,0.1,1e-3,0.01,5.0860540e-4,2.0453369e-4,3.5195409e-3
73.4,7.28,5.65,0.35339806,0.87596899,-2.6056998,0.1,1e-3,0.01,5.1485845e-4,2.0610954e-4,3.5798311e-3
70.8,8.28,5.75,0.40194175,0.89147287,-2.5578847,0.1,1e-3,0.01,5.2318234e-4,2.0770125e-4,3.6401157e-3
67.8,9.72,5.85,0.47184466,0.90697674,-2.4920998,0.1,1e-3,0.01,5.3676182e-4,2.0930846e-4,3.7002672e-3
64.4,11.16,5.95,0.54174757,0.92248062,-2.4075909,0.1,1e-3,0.01,5.5209573e-4,2.1093082e-4,3.7603294e-3
60.0,13.5,6.05,0.65533981,0.93798450,-2.2807963,0.1,1e-3,0.01,5.8039057e-4,2.1256797e-4,3.8199752e-3
55.0,15.6,6.15,0.75728155,0.95348837,-2.1252874,0.1,1e-3,0.01,6.0892352e-4,2.1421959e-4,3.8795807e-3
48.8,18.0,6.25,0.87378641,0.96899225,-1.9163715,0.1,1e-3,0.01,6.4464533e-4,2.1588533e-4,3.9389430e-3
42.2,20.0,6.35,0.97087379,0.98449612,-1.6837052,0.1,1e-3,0.01,6.7658757e-4,2.1756488e-4,3.9986236e-3
35.0,20.6,6.45,1.,1.,-1.4184291,0.1,1e-3,0.01,6.8651144e-4,2.1925792e-4,4.0586168e-3
27.8,20.1,6.55,0.97572816,1.0155039,-1.1441052,0.1,1e-3,0.01,6.7823117e-4,2.2096413e-4,4.1191915e-3
17.8,16.5,6.75,0.80097087,1.0465116,-0.75492471,0.1,1e-3,0.01,6.2195707e-4,2.2441487e-4,4.2426244e-3
15.0,14.8,6.85,0.71844660,1.0620155,-0.64559729,0.1,1e-3,0.01,5.9773142e-4,2.2615882e-4,4.3050137e-3
12.3,13.12,6.95,0.63689320,1.0775194,-0.53711810,0.1,1e-3,0.01,5.7553103e-4,2.2791479e-4,4.3674976e-3
10.1,11.92,7.05,0.57864078,1.0930233,-0.44739421,0.1,1e-3,0.01,5.6084774e-4,2.2968248e-4,4.4301002e-3
8.9,10.84,7.15,0.52621359,1.1085271,-0.39983050,0.1,1e-3,0.01,5.4854385e-4,2.3146162e-4,4.4928256e-3
7.4,10.08,7.25,0.48932039,1.1240310,-0.33709289,0.1,1e-3,0.01,5.4043636e-4,2.3325197e-4,4.5555466e-3
6.5,9.12,7.35,0.44271845,1.1395349,-0.30017918,0.1,1e-3,0.01,5.3088237e-4,2.3505327e-4,4.6183218e-3
5.5,8.56,7.45,0.41553398,1.1550388,-0.25745352,0.1,1e-3,0.01,5.2567873e-4,2.3686527e-4,4.6811007e-3
