13/14/15/16: ,U,I,dI,dU,U^3/2,dU^3/2
0,0.5,15.09,0.030180000000000002,0.1,0.3535533905932738,0.10606601717798216
1,1.0,30.01,0.060020000000000004,0.1,1.0,0.15000000000000002
2,1.5,46.74,0.09348000000000001,0.1,1.8371173070873836,0.18371173070873836
3,2.0,63.01,0.12602,0.1,2.8284271247461903,0.2121320343559643
4,2.5,86.94,0.17388,0.1,3.952847075210474,0.23717082451262844
5,2.9,104.44,0.20888,0.1,4.938522046118656,0.25544079548889603
6,3.5,130.0,0.26,0.1,6.547900426854397,0.2806243040080456
7,4.0,153.8,0.30760000000000004,0.1,8.0,0.30000000000000004
8,4.5,181.16,0.36232,0.1,9.545941546018392,0.3181980515339464
9,5.0,206.61,0.41322000000000003,0.1,11.180339887498949,0.33541019662496846
10,5.5,234.32,0.46864,0.1,12.89864333951443,0.35178118198675723
11,6.0,263.87,0.52774,0.1,14.696938456699069,0.3674234614174767
12,7.0,325.83,0.65166,0.1,18.520259177452136,0.39686269665968865
13,8.0,392.85,0.7857000000000001,0.1,22.627416997969522,0.4242640687119286
14,9.0,465.04,0.93008,0.1,27.0,0.45
15,10.0,577.8,1.1556,0.1,31.622776601683793,0.4743416490252569
16,15.0,1025.6,2.0511999999999997,0.1,58.09475019311125,0.5809475019311126
17,20.0,1568.1,3.1362,0.1,89.44271909999159,0.6708203932499369
18,25.0,2188.4,4.3768,0.1,125.0,0.75
19,30.1,2879.3,5.7586,0.1,165.13903536111624,0.8229520034607121
20,34.9,3594.2,7.1884,0.1,206.17601460887732,0.8861433292645158
21,40.0,4383.2,8.766399999999999,0.1,252.98221281347034,0.9486832980505138
22,45.0,5301.0,10.602,0.1,301.8691769624716,1.0062305898749053
23,49.9,6180.0,12.36,0.1,352.49326092848924,1.0595989807469617

