,U,I,dI,dU,U^3/2,dU^3/2
0,15.0,925.1,1.8502,0.1,58.09475019311125,0.5809475019311126
1,20.0,1432.9,2.8658,0.1,89.44271909999159,0.6708203932499369
2,25.0,2030.0,4.0600000000000005,0.1,125.0,0.75
3,30.0,2676.4,5.3528,0.1,164.31676725154983,0.8215838362577492
4,35.0,3354.8,6.709600000000001,0.1,207.06279240848656,0.8874119674649424
5,40.0,4071.3,8.1426,0.1,252.98221281347034,0.9486832980505138
6,45.0,4834.1,9.6682,0.1,301.8691769624716,1.0062305898749053
7,15.0,975.7,1.9514,0.1,58.09475019311125,0.5809475019311126
8,20.0,1507.8,3.0156,0.1,89.44271909999159,0.6708203932499369
9,25.0,2114.1,4.2282,0.1,125.0,0.75
10,30.0,2778.4,5.5568,0.1,164.31676725154983,0.8215838362577492
11,35.0,3497.8,6.9956000000000005,0.1,207.06279240848656,0.8874119674649424
12,40.1,4289.9,8.579799999999999,0.1,253.93148879176053,0.9498684119392539
13,45.0,5193.0,10.386000000000001,0.1,301.8691769624716,1.0062305898749053
14,50.0,6049.0,12.098,0.1,353.5533905932738,1.0606601717798214
15,15.0,1025.6,2.0511999999999997,0.1,58.09475019311125,0.5809475019311126
16,20.0,1568.1,3.1362,0.1,89.44271909999159,0.6708203932499369
17,25.0,2188.4,4.3768,0.1,125.0,0.75
18,30.1,2879.3,5.7586,0.1,165.13903536111624,0.8229520034607121
19,34.9,3594.2,7.1884,0.1,206.17601460887732,0.8861433292645158
20,40.0,4383.2,8.766399999999999,0.1,252.98221281347034,0.9486832980505138
21,45.0,5301.0,10.602,0.1,301.8691769624716,1.0062305898749053
22,49.9,6180.0,12.36,0.1,352.49326092848924,1.0595989807469617
23,15.1,1090.1,2.1801999999999997,0.1,58.67666486773085,0.5828807768317635
24,20.0,1629.5,3.259,0.1,89.44271909999159,0.6708203932499369
25,25.0,2264.5,4.529,0.1,125.0,0.75
26,30.0,2964.0,5.928,0.1,164.31676725154983,0.8215838362577492
27,35.0,3702.9,7.4058,0.1,207.06279240848656,0.8874119674649424
28,40.0,4488.1,8.9762,0.1,252.98221281347034,0.9486832980505138
29,45.0,5424.0,10.848,0.1,301.8691769624716,1.0062305898749053
30,50.0,6315.0,12.63,0.1,353.5533905932738,1.0606601717798214

