2X_s,2Y_s,"K_x, mV","K_y, mV","I,mA","U, mV",koefx,koefy,"U_x, mV","U_y, mv",dUx,dUy,"B, mT",dB,dI,H,dH
5.9,4.4,20,10,445,603,2.6666667,2.8,314.66667,123.2,0.26666667,0.28,410.66667,0.93333333,5,74.76,0.84
9.1,7.9,10,5,352,607,2.8,2.8,254.8,110.6,0.28,0.28,368.66667,0.93333333,5,59.136,0.84
7.6,7.2,10,5,283,605,2.8,2.8,212.8,100.8,0.28,0.28,336.,0.93333333,5,47.544,0.84
6.5,6.5,10,5,245,607,2.8,2.8,182.,91.,0.28,0.28,303.33333,0.93333333,5,41.16,0.84
5.2,5.6,10,5,198,607,2.8,2.8,145.6,78.4,0.28,0.28,261.33333,0.93333333,5,33.264,0.84
3.7,4.1,10,5,147,606,2.8,2.8,103.6,57.4,0.28,0.28,191.33333,0.93333333,5,24.696,0.84
6.6,3.7,5,5,132,607,2.8,2.8,92.4,51.8,0.28,0.28,172.66667,0.93333333,5,22.176,0.84
5.6,3.0,5,5,115,605,2.8,2.8,78.4,42.,0.28,0.28,140.,0.93333333,5,19.32,0.84
3.7,1.8,5,5,78,606,2.8,2.8,51.8,25.2,0.28,0.28,84.,0.93333333,5,13.104,0.84
1.7,0.7,5,5,34,606,2.8,2.8,23.8,9.8,0.28,0.28,32.666667,0.93333333,5,5.712,0.84
