Частота,Канал A
(kГц),(В)

0.00000000,0.00708731
0.04768372,0.00483452
0.09536743,0.00308167
0.14305115,0.00075144
0.19073486,0.00035675
0.23841858,0.00023735
0.28610229,0.00011087
0.33378601,0.00026702
0.38146973,0.00030749
0.42915344,0.00036460
0.47683716,0.00037455
0.52452087,0.00030256
0.57220459,0.00025051
0.61988831,0.00026684
0.66757202,0.00026182
0.71525574,0.00028935
0.76293945,0.00026770
0.81062317,0.00012025
0.85830688,0.00240380
0.90599060,0.00738115
0.95367432,0.01063675
1.00135803,0.01091863
1.04904175,0.01040930
1.09672546,0.00686784
1.14440918,0.00193241
1.19209290,0.00030477
1.23977661,0.00057402
1.28746033,0.00059048
1.33514404,0.00044446
1.38282776,0.00026373
1.43051147,0.00030184
1.47819519,0.00033595
1.52587891,0.00029354
1.57356262,0.00035424
1.62124634,0.00044594
1.66893005,0.00059354
1.71661377,0.00052677
1.76429749,0.00031653
1.81198120,0.00022402
1.85966492,0.00364879
1.90734863,0.01162568
1.95503235,0.01675130
2.00271606,0.01737707
2.05039978,0.01671727
2.09808350,0.01088142
2.14576721,0.00306707
2.19345093,0.00073980
2.24113464,0.00070161
2.28881836,0.00046875
2.33650208,0.00030630
2.38418579,0.00030420
2.43186951,0.00036866
2.47955322,0.00038675
2.52723694,0.00042589
2.57492065,0.00035363
2.62260437,0.00032731
2.67028809,0.00030759
2.71797180,0.00018337
2.76565552,0.00017898
2.81333923,0.00024517
2.86102295,0.00374502
2.90870667,0.01159091
2.95639038,0.01634476
3.00407410,0.01674761
3.05175781,0.01612429
3.09944153,0.01053150
3.14712524,0.00317246
3.19480896,0.00051129
3.24249268,0.00038092
3.29017639,0.00037788
3.33786011,0.00024057
3.38554382,0.00017311
3.43322754,0.00009358
3.48091125,0.00012373
3.52859497,0.00032900
3.57627869,0.00051808
3.62396240,0.00054918
3.67164612,0.00048343
3.71932983,0.00029627
3.76701355,0.00013299
3.81469727,0.00033720
3.86238098,0.00271107
3.91006470,0.00750197
3.95774841,0.01028786
4.00543213,0.01046568
4.05311584,0.00997971
4.10079956,0.00642720
4.14848328,0.00185389
4.19616699,0.00017416
4.24385071,0.00009051
4.29153442,0.00024406
4.33921814,0.00047259
4.38690186,0.00061277
4.43458557,0.00066714
4.48226929,0.00068097
4.52995300,0.00062554
4.57763672,0.00051285
4.62532043,0.00047022
4.67300415,0.00056616
4.72068787,0.00063462
4.76837158,0.00052324
4.81605530,0.00039405
4.86373901,0.00045886
4.91142273,0.00054700
4.95910645,0.00053609
5.00679016,0.00039503
5.05447388,0.00027944
5.10215759,0.00025501
5.14984131,0.00012807
5.19752502,0.00004560
5.24520874,0.00023605
5.29289246,0.00030292
5.34057617,0.00015122
5.38825989,0.00016129
5.43594360,0.00032981
5.48362732,0.00043908
5.53131104,0.00042651
5.57899475,0.00038289
5.62667847,0.00029597
5.67436218,0.00016601
5.72204590,0.00017091
5.76972961,0.00048649
5.81741333,0.00073995
5.86509705,0.00272316
5.91278076,0.00772052
5.96046448,0.01054222
6.00814819,0.01085358
6.05583191,0.01044474
6.10351563,0.00669397
6.15119934,0.00216900
6.19888306,0.00074907
6.24656677,0.00072215
6.29425049,0.00062189
6.34193420,0.00049511
6.38961792,0.00046793
6.43730164,0.00044602
6.48498535,0.00040183
6.53266907,0.00040080
6.58035278,0.00034813
6.62803650,0.00025743
6.67572021,0.00031011
6.72340393,0.00037885
6.77108765,0.00040368
6.81877136,0.00099675
6.86645508,0.00526512
6.91413879,0.01324894
6.96182251,0.01739763
7.00950623,0.01767588
7.05718994,0.01653137
7.10487366,0.01001123
7.15255737,0.00261805
7.20024109,0.00021713
7.24792480,0.00027849
7.29560852,0.00043103
7.34329224,0.00049672
7.39097595,0.00043101
7.43865967,0.00042202
7.48634338,0.00036126
7.53402710,0.00037340
7.58171082,0.00051734
7.62939453,0.00052848
7.67707825,0.00041805
7.72476196,0.00026270
7.77244568,0.00043628
7.82012939,0.00125859
7.86781311,0.00574259
7.91549683,0.01378758
7.96318054,0.01768571
8.01086426,0.01777414
8.05854797,0.01653377
8.10623169,0.00992447
8.15391541,0.00270550
8.20159912,0.00045900
8.24928284,0.00035283
8.29696655,0.00042441
8.34465027,0.00045980
8.39233398,0.00040879
8.44001770,0.00033383
8.48770142,0.00018267
8.53538513,0.00010276
8.58306885,0.00021160
8.63075256,0.00033424
8.67843628,0.00036976
8.72612000,0.00048313
8.77380371,0.00051755
8.82148743,0.00096554
8.86917114,0.00385293
8.91685486,0.00862944
8.96453857,0.01071400
9.01222229,0.01057078
9.05990601,0.00956923
9.10758972,0.00536681
9.15527344,0.00103355
9.20295715,0.00020318
9.25064087,0.00021689
9.29832458,0.00032353
9.34600830,0.00043716
9.39369202,0.00038317
9.44137573,0.00041747
9.48905945,0.00057030
9.53674316,0.00055008
9.58442688,0.00046215
9.63211060,0.00037167
9.67979431,0.00023011
9.72747803,0.00025350
9.77516174,0.00044239
9.82284546,0.00053340
9.87052917,0.00054876
9.91821289,0.00053479
9.96589661,0.00049025
10.01358032,0.00043483
10.06126404,0.00041147
10.10894775,0.00043619
10.15663147,0.00042479
10.20431519,0.00033425
10.25199890,0.00027764
10.29968262,0.00029409
10.34736633,0.00029685
10.39505005,0.00030676
10.44273376,0.00029553
10.49041748,0.00032596
10.53810120,0.00022000
10.58578491,0.00011840
10.63346863,0.00020991
10.68115234,0.00046886
10.72883606,0.00050047
10.77651978,0.00043925
10.82420349,0.00034776
10.87188721,0.00342489
10.91957092,0.00859112
10.96725464,0.01082731
11.01493835,0.01090256
11.06262207,0.00991832
11.11030579,0.00553910
11.15798950,0.00129607
11.20567322,0.00014493
11.25335693,0.00034136
11.30104065,0.00072016
11.34872437,0.00089878
11.39640808,0.00086024
11.44409180,0.00075333
11.49177551,0.00065276
11.53945923,0.00074935
11.58714294,0.00067810
11.63482666,0.00052507
11.68251038,0.00034123
11.73019409,0.00015043
11.77787781,0.00006246
11.82556152,0.00071634
11.87324524,0.00578666
11.92092896,0.01394546
11.96861267,0.01738661
12.01629639,0.01765192
12.06398010,0.01617330
12.11166382,0.00907425
12.15934753,0.00235539
12.20703125,0.00055458
12.25471497,0.00025061
12.30239868,0.00040638
12.35008240,0.00056811
12.39776611,0.00062924
12.44544983,0.00049897
12.49313354,0.00036061
12.54081726,0.00052231
12.58850098,0.00060842
12.63618469,0.00056168
12.68386841,0.00034075
12.73155212,0.00011199
12.77923584,0.00033577
12.82691956,0.00143679
12.87460327,0.00693074
12.92228699,0.01517984
12.96997070,0.01843817
13.01765442,0.01849897
13.06533813,0.01663492
13.11302185,0.00913424
13.16070557,0.00227881
13.20838928,0.00056803
13.25607300,0.00059659
13.30375671,0.00060800
13.35144043,0.00050352
13.39912415,0.00039647
13.44680786,0.00020168
13.49449158,0.00023314
13.54217529,0.00038789
13.58985901,0.00039135
13.63754272,0.00030916
13.68522644,0.00025438
13.73291016,0.00025731
13.78059387,0.00024524
13.82827759,0.00082796
13.87596130,0.00420796
13.92364502,0.00923551
13.97132874,0.01126490
14.01901245,0.01143393
14.06669617,0.01018523
14.11437988,0.00530705
14.16206360,0.00102480
14.20974731,0.00035191
14.25743103,0.00027871
14.30511475,0.00014882
14.35279846,0.00022796
14.40048218,0.00026331
14.44816589,0.00015812
14.49584961,0.00006112
14.54353333,0.00019044
14.59121704,0.00031636
14.63890076,0.00041900
14.68658447,0.00044124
14.73426819,0.00046516
14.78195190,0.00059288
14.82963562,0.00056127
14.87731934,0.00040160
14.92500305,0.00021500
14.97268677,0.00006888
15.02037048,0.00016092
15.06805420,0.00006140
15.11573792,0.00017880
15.16342163,0.00022712
15.21110535,0.00027972
15.25878906,0.00031123
15.30647278,0.00031236
15.35415649,0.00027445
15.40184021,0.00036129
15.44952393,0.00047004
15.49720764,0.00035213
15.54489136,0.00032214
15.59257507,0.00047761
15.64025879,0.00059872
15.68794250,0.00065843
15.73562622,0.00060600
15.78330994,0.00040955
15.83099365,0.00083991
15.87867737,0.00469162
15.92636108,0.01003876
15.97404480,0.01196518
16.02172852,0.01214526
16.06941223,0.01076230
16.11709595,0.00554922
16.16477966,0.00111919
16.21246338,0.00012555
16.26014709,0.00055116
16.30783081,0.00088178
16.35551453,0.00094235
16.40319824,0.00080441
16.45088196,0.00058157
16.49856567,0.00035926
16.54624939,0.00033829
16.59393311,0.00027575
16.64161682,0.00018187
16.68930054,0.00013166
16.73698425,0.00016494
16.78466797,0.00004860
16.83235168,0.00134406
16.88003540,0.00778602
16.92771912,0.01642217
16.97540283,0.01928733
17.02308655,0.01929979
17.07077026,0.01675590
17.11845398,0.00836276
17.16613770,0.00168496
17.21382141,0.00028298
17.26150513,0.00008040
17.30918884,0.00032597
17.35687256,0.00059048
17.40455627,0.00078430
17.45223999,0.00079551
17.49992371,0.00057614
17.54760742,0.00034947
17.59529114,0.00024623
17.64297485,0.00025006
17.69065857,0.00023129
17.73834229,0.00025923
17.78602600,0.00023317
17.83370972,0.00140534
17.88139343,0.00812720
17.92907715,0.01679927
17.97676086,0.01948749
18.02444458,0.01941321
18.07212830,0.01669087
18.11981201,0.00807232
18.16749573,0.00134620
18.21517944,0.00024968
18.26286316,0.00036665
18.31054688,0.00053284
18.35823059,0.00059648
18.40591431,0.00048338
18.45359802,0.00043292
18.50128174,0.00033512
18.54896545,0.00023743
18.59664917,0.00012038
18.64433289,0.00003823
18.69201660,0.00010811
18.73970032,0.00027678
18.78738403,0.00039731
18.83506775,0.00117386
18.88275146,0.00556293
18.93043518,0.01111312
18.97811890,0.01281165
19.02580261,0.01282967
19.07348633,0.01105853
19.12117004,0.00560478
19.16885376,0.00147496
19.21653748,0.00054631
19.26422119,0.00027022
19.31190491,0.00024294
19.35958862,0.00055598
19.40727234,0.00055792
19.45495605,0.00047114
19.50263977,0.00026284
19.55032349,0.00019484
19.59800720,0.00027820
19.64569092,0.00039800
19.69337463,0.00039779
19.74105835,0.00009826
19.78874207,0.00028135
19.83642578,0.00039646
19.88410950,0.00041038
19.93179321,0.00024747
19.97947693,0.00000614
20.02716064,0.00020729
20.07484436,0.00030054
20.12252808,0.00022913
20.17021179,0.00019928
20.21789551,0.00029532
20.26557922,0.00033686
20.31326294,0.00024726
20.36094666,0.00021481
20.40863037,0.00021211
20.45631409,0.00019489
20.50399780,0.00018358
20.55168152,0.00015527
20.59936523,0.00036242
20.64704895,0.00054438
20.69473267,0.00048257
20.74241638,0.00028596
20.79010010,0.00001602
20.83778381,0.00121425
20.88546753,0.00589087
20.93315125,0.01126977
20.98083496,0.01262787
21.02851868,0.01256586
21.07620239,0.01049514
21.12388611,0.00477153
21.17156982,0.00087859
21.21925354,0.00045982
21.26693726,0.00065059
21.31462097,0.00075552
21.36230469,0.00071859
21.40998840,0.00061443
21.45767212,0.00055150
21.50535583,0.00044572
21.55303955,0.00035236
21.60072327,0.00029509
21.64840698,0.00036517
21.69609070,0.00034621
21.74377441,0.00033672
21.79145813,0.00028774
21.83914185,0.00180581
21.88682556,0.00976970
21.93450928,0.01870536
21.98219299,0.02102786
22.02987671,0.02103057
22.07756042,0.01744908
22.12524414,0.00794535
22.17292786,0.00152509
22.22061157,0.00038621
22.26829529,0.00035202
22.31597900,0.00040019
22.36366272,0.00040689
22.41134644,0.00039149
22.45903015,0.00024084
22.50671387,0.00002664
22.55439758,0.00020641
22.60208130,0.00039076
22.64976501,0.00052920
22.69744873,0.00059257
22.74513245,0.00068941
22.79281616,0.00082147
22.84049988,0.00263577
22.88818359,0.01085978
22.93586731,0.01978760
22.98355103,0.02194117
23.03123474,0.02184684
23.07891846,0.01789794
23.12660217,0.00803630
23.17428589,0.00146319
23.22196960,0.00017778
23.26965332,0.00032393
23.31733704,0.00038638
23.36502075,0.00034967
23.41270447,0.00028235
23.46038818,0.00028236
23.50807190,0.00019728
23.55575562,0.00018078
23.60343933,0.00016070
23.65112305,0.00013520
23.69880676,0.00024563
23.74649048,0.00037673
23.79417419,0.00048800
23.84185791,0.00179183
23.88954163,0.00700952
23.93722534,0.01260344
23.98490906,0.01398874
24.03259277,0.01404295
24.08027649,0.01146955
24.12796021,0.00511031
24.17564392,0.00091110
24.22332764,0.00009800
24.27101135,0.00033844
24.31869507,0.00050151
24.36637878,0.00055346
24.41406250,0.00044357
24.46174622,0.00034018
24.50942993,0.00023357
24.55711365,0.00027368
24.60479736,0.00032648
24.65248108,0.00030522
24.70016479,0.00025402
24.74784851,0.00028516
24.79553223,0.00029120
24.84321594,0.00017759
24.89089966,0.00015389
24.93858337,0.00025829
24.98626709,0.00032425
25.03395081,0.00037925
25.08163452,0.00044433
25.12931824,0.00044423
25.17700195,0.00043431
25.22468567,0.00040568
25.27236938,0.00029119
25.32005310,0.00036869
25.36773682,0.00059724
25.41542053,0.00067043
25.46310425,0.00058369
25.51078796,0.00041096
25.55847168,0.00022348
25.60615540,0.00006327
25.65383911,0.00009272
25.70152283,0.00031924
25.74920654,0.00053502
25.79689026,0.00068446
25.84457397,0.00222500
25.89225769,0.00787664
25.93994141,0.01341471
25.98762512,0.01454065
26.03530884,0.01444292
26.08299255,0.01133815
26.13067627,0.00461299
26.17835999,0.00108217
26.22604370,0.00097493
26.27372742,0.00087052
26.32141113,0.00066625
26.36909485,0.00052202
26.41677856,0.00045593
26.46446228,0.00047791
26.51214600,0.00052770
26.55982971,0.00049521
26.60751343,0.00042466
26.65519714,0.00037992
26.70288086,0.00033090
26.75056458,0.00033429
26.79824829,0.00048325
26.84593201,0.00331393
26.89361572,0.01335367
26.94129944,0.02282588
26.98898315,0.02466575
27.03666687,0.02435601
27.08435059,0.01893416
27.13203430,0.00774458
27.17971802,0.00134782
27.22740173,0.00034605
27.27508545,0.00043057
27.32276917,0.00077887
27.37045288,0.00099967
27.41813660,0.00093998
27.46582031,0.00068397
27.51350403,0.00036461
27.56118774,0.00027964
27.60887146,0.00029385
27.65655518,0.00036085
27.70423889,0.00035435
