Время,Канал A
(mс),(В)

-1.00079179,-0.41438030
-1.00047179,-0.25580610
-1.00015179,-0.11481060
-0.99983179,0.02612384
-0.99951179,0.16705830
-0.99919179,0.32563250
-0.99887179,0.46656700
-0.99855179,0.58992280
-0.99823179,0.73085730
-0.99791179,0.85421310
-0.99759179,0.97750780
-0.99727179,1.06564500
-0.99695179,1.17136100
-0.99663179,1.25943800
-0.99631179,1.32993600
-0.99599179,1.36515400
-0.99567179,1.41801200
-0.99535179,1.43565200
-0.99503179,1.45329100
-0.99471179,1.45329100
-0.99439179,1.43565200
-0.99407179,1.40043300
-0.99375179,1.36515400
-0.99343179,1.31229600
-0.99311179,1.22421900
-0.99279179,1.13608200
-0.99247179,1.04800600
-0.99215179,0.94228950
-0.99183179,0.83657340
-0.99151179,0.71321760
-0.99119179,0.57228310
-0.99087179,0.44892730
-0.99055179,0.30799280
-0.99023179,0.16705830
-0.98991179,0.00848415
-0.98959179,-0.13245030
-0.98927179,-0.27338480
-0.98895179,-0.41438030
-0.98863179,-0.55531480
-0.98831179,-0.67867060
-0.98799179,-0.80196540
-0.98767179,-0.90768150
-0.98735179,-1.01339800
-0.98703179,-1.11917500
-0.98671179,-1.20725100
-0.98639179,-1.27774900
-0.98607179,-1.33060700
-0.98575179,-1.36582500
-0.98543179,-1.40104400
-0.98511179,-1.41868300
-0.98479179,-1.41868300
-0.98447179,-1.40104400
-0.98415179,-1.38346500
-0.98383179,-1.33060700
-0.98351179,-1.27774900
-0.98319179,-1.20725100
-0.98287179,-1.13675300
-0.98255179,-1.03103700
-0.98223179,-0.94296090
-0.98191179,-0.83724480
-0.98159179,-0.71388900
-0.98127179,-0.57295450
-0.98095179,-0.44959870
-0.98063179,-0.32624290
-0.98031179,-0.18530840
-0.97999179,-0.04437391
-0.97967179,0.09656057
-0.97935179,0.23749500
-0.97903179,0.37849060
-0.97871179,0.51942500
-0.97839179,0.64278080
-0.97807179,0.76607560
-0.97775179,0.88943140
-0.97743179,0.97750780
-0.97711179,1.06564500
-0.97679179,1.15372200
-0.97647179,1.22421900
-0.97615179,1.29471700
-0.97583179,1.32993600
-0.97551179,1.36515400
-0.97519179,1.38279400
-0.97487179,1.38279400
-0.97455179,1.38279400
-0.97423179,1.36515400
-0.97391179,1.32993600
-0.97359179,1.25943800
-0.97327179,1.18900100
-0.97295179,1.13608200
-0.97263179,1.04800600
-0.97231179,0.95992920
-0.97199179,0.83657340
-0.97167179,0.73085730
-0.97135179,0.62514110
-0.97103179,0.48420670
-0.97071179,0.34321110
-0.97039179,0.21991640
-0.97007179,0.07892086
-0.96975179,-0.06195258
-0.96943179,-0.18530840
-0.96911179,-0.32624290
-0.96879179,-0.44959870
-0.96847179,-0.57295450
-0.96815179,-0.71388900
-0.96783179,-0.81960510
-0.96751179,-0.92532120
-0.96719179,-1.01339800
-0.96687179,-1.08389500
-0.96655179,-1.17203300
-0.96623179,-1.22489100
-0.96591179,-1.27774900
-0.96559179,-1.31296700
-0.96527179,-1.33060700
-0.96495179,-1.34818600
-0.96463179,-1.33060700
-0.96431179,-1.31296700
-0.96399179,-1.27774900
-0.96367179,-1.24247000
-0.96335179,-1.17203300
-0.96303179,-1.11917500
-0.96271179,-1.03103700
-0.96239179,-0.94296090
-0.96207179,-0.83724480
-0.96175179,-0.73152870
-0.96143179,-0.60817280
-0.96111179,-0.48481700
-0.96079179,-0.36152230
-0.96047179,-0.22052680
-0.96015179,-0.09723197
-0.95983179,0.02612384
-0.95951179,0.14941860
-0.95919179,0.29035310
-0.95887179,0.41370890
-0.95855179,0.53706470
-0.95823179,0.66035950
-0.95791179,0.76607560
-0.95759179,0.87179170
-0.95727179,0.95992920
-0.95695179,1.04800600
-0.95663179,1.11850300
-0.95631179,1.18900100
-0.95599179,1.22421900
-0.95567179,1.25943800
-0.95535179,1.29471700
-0.95503179,1.31229600
-0.95471179,1.29471700
-0.95439179,1.27707800
-0.95407179,1.24185900
-0.95375179,1.22421900
-0.95343179,1.17136100
-0.95311179,1.10086400
-0.95279179,1.01278700
-0.95247179,0.94228950
-0.95215179,0.83657340
-0.95183179,0.73085730
-0.95151179,0.62514110
-0.95119179,0.50178530
-0.95087179,0.37849060
-0.95055179,0.27277440
-0.95023179,0.13177890
-0.94991179,0.00848415
-0.94959179,-0.11481060
-0.94927179,-0.23816650
-0.94895179,-0.36152230
-0.94863179,-0.48481700
-0.94831179,-0.59053310
-0.94799179,-0.69624920
-0.94767179,-0.80196540
-0.94735179,-0.89010290
-0.94703179,-0.97817930
-0.94671179,-1.04867700
-0.94639179,-1.11917500
-0.94607179,-1.15439300
-0.94575179,-1.18961200
-0.94543179,-1.22489100
-0.94511179,-1.24247000
-0.94479179,-1.24247000
-0.94447179,-1.22489100
-0.94415179,-1.20725100
-0.94383179,-1.15439300
-0.94351179,-1.11917500
-0.94319179,-1.06631700
-0.94287179,-0.99581900
-0.94255179,-0.90768150
-0.94223179,-0.81960510
-0.94191179,-0.73152870
-0.94159179,-0.60817280
-0.94127179,-0.50245670
-0.94095179,-0.39674060
-0.94063179,-0.27338480
-0.94031179,-0.15009000
-0.93999179,-0.02673421
-0.93967179,0.09656057
-0.93935179,0.20227670
-0.93903179,0.32563250
-0.93871179,0.44892730
-0.93839179,0.55464340
-0.93807179,0.66035950
-0.93775179,0.74849690
-0.93743179,0.83657340
-0.93711179,0.92464980
-0.93679179,0.99514760
-0.93647179,1.04800600
-0.93615179,1.11850300
-0.93583179,1.15372200
-0.93551179,1.17136100
-0.93519179,1.18900100
-0.93487179,1.18900100
-0.93455179,1.18900100
-0.93423179,1.17136100
-0.93391179,1.11850300
-0.93359179,1.10086400
-0.93327179,1.03036600
-0.93295179,0.97750780
-0.93263179,0.88943140
-0.93231179,0.81893370
-0.93199179,0.73085730
-0.93167179,0.62514110
-0.93135179,0.51942500
-0.93103179,0.41370890
-0.93071179,0.29035310
-0.93039179,0.20227670
-0.93007179,0.06134221
-0.92975179,-0.04437391
-0.92943179,-0.15009000
-0.92911179,-0.27338480
-0.92879179,-0.37910090
-0.92847179,-0.50245670
-0.92815179,-0.59053310
-0.92783179,-0.69624920
-0.92751179,-0.78438680
-0.92719179,-0.85482350
-0.92687179,-0.92532120
-0.92655179,-0.97817930
-0.92623179,-1.03103700
-0.92591179,-1.06631700
-0.92559179,-1.10153500
-0.92527179,-1.11917500
-0.92495179,-1.13675300
-0.92463179,-1.11917500
-0.92431179,-1.10153500
-0.92399179,-1.06631700
-0.92367179,-1.03103700
-0.92335179,-0.99581900
-0.92303179,-0.92532120
-0.92271179,-0.85482350
-0.92239179,-0.78438680
-0.92207179,-0.69624920
-0.92175179,-0.60817280
-0.92143179,-0.50245670
-0.92111179,-0.41438030
-0.92079179,-0.30866420
-0.92047179,-0.20294810
-0.92015179,-0.07959227
-0.91983179,0.02612384
-0.91951179,0.13177890
-0.91919179,0.23749500
-0.91887179,0.34321110
-0.91855179,0.44892730
-0.91823179,0.55464340
-0.91791179,0.64278080
-0.91759179,0.73085730
-0.91727179,0.80135500
-0.91695179,0.87179170
-0.91663179,0.92464980
-0.91631179,0.97750780
-0.91599179,1.01278700
-0.91567179,1.04800600
-0.91535179,1.06564500
-0.91503179,1.06564500
-0.91471179,1.06564500
-0.91439179,1.04800600
-0.91407179,1.03036600
-0.91375179,0.99514760
-0.91343179,0.94228950
-0.91311179,0.90707110
-0.91279179,0.83657340
-0.91247179,0.76607560
-0.91215179,0.67799920
-0.91183179,0.60750140
-0.91151179,0.51942500
-0.91119179,0.41370890
-0.91087179,0.30799280
-0.91055179,0.21991640
-0.91023179,0.11420030
-0.90991179,0.00848415
-0.90959179,-0.09723197
-0.90927179,-0.20294810
-0.90895179,-0.29102450
-0.90863179,-0.39674060
-0.90831179,-0.48481700
-0.90799179,-0.57295450
-0.90767179,-0.64339120
-0.90735179,-0.73152870
-0.90703179,-0.80196540
-0.90671179,-0.85482350
-0.90639179,-0.90768150
-0.90607179,-0.94296090
-0.90575179,-0.96053960
-0.90543179,-0.99581900
-0.90511179,-0.99581900
-0.90479179,-0.99581900
-0.90447179,-0.99581900
-0.90415179,-0.96053960
-0.90383179,-0.94296090
-0.90351179,-0.90768150
-0.90319179,-0.85482350
-0.90287179,-0.80196540
-0.90255179,-0.73152870
-0.90223179,-0.66103090
-0.90191179,-0.57295450
-0.90159179,-0.50245670
-0.90127179,-0.41438030
-0.90095179,-0.30866420
-0.90063179,-0.22052680
-0.90031179,-0.11481060
-0.89999179,-0.00909452
-0.89967179,0.06134221
-0.89935179,0.16705830
-0.89903179,0.25513470
-0.89871179,0.34321110
-0.89839179,0.44892730
-0.89807179,0.51942500
-0.89775179,0.60750140
-0.89743179,0.66035950
-0.89711179,0.73085730
-0.89679179,0.78371530
-0.89647179,0.83657340
-0.89615179,0.88943140
-0.89583179,0.90707110
-0.89551179,0.94228950
-0.89519179,0.94228950
-0.89487179,0.94228950
-0.89455179,0.94228950
-0.89423179,0.92464980
-0.89391179,0.90707110
-0.89359179,0.85421310
-0.89327179,0.81893370
-0.89295179,0.76607560
-0.89263179,0.71321760
-0.89231179,0.64278080
-0.89199179,0.57228310
-0.89167179,0.48420670
-0.89135179,0.41370890
-0.89103179,0.32563250
-0.89071179,0.23749500
-0.89039179,0.14941860
-0.89007179,0.06134221
-0.88975179,-0.02673421
-0.88943179,-0.13245030
-0.88911179,-0.22052680
-0.88879179,-0.29102450
-0.88847179,-0.37910090
-0.88815179,-0.46723840
-0.88783179,-0.53767510
-0.88751179,-0.60817280
-0.88719179,-0.66103090
-0.88687179,-0.71388900
-0.88655179,-0.78438680
-0.88623179,-0.80196540
-0.88591179,-0.83724480
-0.88559179,-0.85482350
-0.88527179,-0.87246320
-0.88495179,-0.87246320
-0.88463179,-0.87246320
-0.88431179,-0.85482350
-0.88399179,-0.83724480
-0.88367179,-0.80196540
-0.88335179,-0.76674710
-0.88303179,-0.71388900
-0.88271179,-0.66103090
-0.88239179,-0.60817280
-0.88207179,-0.53767510
-0.88175179,-0.46723840
-0.88143179,-0.39674060
-0.88111179,-0.30866420
-0.88079179,-0.23816650
-0.88047179,-0.15009000
-0.88015179,-0.06195258
-0.87983179,0.02612384
-0.87951179,0.09656057
-0.87919179,0.20227670
-0.87887179,0.27277440
-0.87855179,0.34321110
-0.87823179,0.41370890
-0.87791179,0.48420670
-0.87759179,0.55464340
-0.87727179,0.60750140
-0.87695179,0.66035950
-0.87663179,0.71321760
-0.87631179,0.74849690
-0.87599179,0.78371530
-0.87567179,0.80135500
-0.87535179,0.81893370
-0.87503179,0.81893370
-0.87471179,0.83657340
-0.87439179,0.81893370
-0.87407179,0.78371530
-0.87375179,0.76607560
-0.87343179,0.73085730
-0.87311179,0.69563890
-0.87279179,0.64278080
-0.87247179,0.58992280
-0.87215179,0.51942500
-0.87183179,0.46656700
-0.87151179,0.39606920
-0.87119179,0.32563250
-0.87087179,0.23749500
-0.87055179,0.16705830
-0.87023179,0.09656057
-0.86991179,0.00848415
-0.86959179,-0.07959227
-0.86927179,-0.15009000
-0.86895179,-0.22052680
-0.86863179,-0.29102450
-0.86831179,-0.36152230
-0.86799179,-0.43195900
-0.86767179,-0.50245670
-0.86735179,-0.55531480
-0.86703179,-0.59053310
-0.86671179,-0.64339120
-0.86639179,-0.69624920
-0.86607179,-0.71388900
-0.86575179,-0.73152870
-0.86543179,-0.74910740
-0.86511179,-0.76674710
-0.86479179,-0.76674710
-0.86447179,-0.74910740
-0.86415179,-0.73152870
-0.86383179,-0.71388900
-0.86351179,-0.67867060
-0.86319179,-0.64339120
