Частота,Канал A
(kГц),(В)

0.00000000,0.00607124
0.04768372,0.00423969
0.09536743,0.00287127
0.14305115,0.00079707
0.19073486,0.00018064
0.23841858,0.00026442
0.28610229,0.00022474
0.33378601,0.00023494
0.38146973,0.00024667
0.42915344,0.00020377
0.47683716,0.00018794
0.52452087,0.00018209
0.57220459,0.00011191
0.61988831,0.00002566
0.66757202,0.00009675
0.71525574,0.00009236
0.76293945,0.00016317
0.81062317,0.00030863
0.85830688,0.00036773
0.90599060,0.00027044
0.95367432,0.00012790
1.00135803,0.00009165
1.04904175,0.00017395
1.09672546,0.00015567
1.14440918,0.00011865
1.19209290,0.00003881
1.23977661,0.00005940
1.28746033,0.00010513
1.33514404,0.00012637
1.38282776,0.00015356
1.43051147,0.00019917
1.47819519,0.00022318
1.52587891,0.00019855
1.57356262,0.00014827
1.62124634,0.00009923
1.66893005,0.00007968
1.71661377,0.00006869
1.76429749,0.00009208
1.81198120,0.00022970
1.85966492,0.00031260
1.90734863,0.00039401
1.95503235,0.00037624
2.00271606,0.00027563
2.05039978,0.00021454
2.09808350,0.00020642
2.14576721,0.00021849
2.19345093,0.00020664
2.24113464,0.00021165
2.28881836,0.00027385
2.33650208,0.00030266
2.38418579,0.00031572
2.43186951,0.00033261
2.47955322,0.00027221
2.52723694,0.00020263
2.57492065,0.00016450
2.62260437,0.00009822
2.67028809,0.00006245
2.71797180,0.00003325
2.76565552,0.00006971
2.81333923,0.00011770
2.86102295,0.00013191
2.90870667,0.00003850
2.95639038,0.00004888
3.00407410,0.00006168
3.05175781,0.00005265
3.09944153,0.00014674
3.14712524,0.00034568
3.19480896,0.00045288
3.24249268,0.00043296
3.29017639,0.00040850
3.33786011,0.00034394
3.38554382,0.00026320
3.43322754,0.00022413
3.48091125,0.00014851
3.52859497,0.00004305
3.57627869,0.00009131
3.62396240,0.00020279
3.67164612,0.00025432
3.71932983,0.00019064
3.76701355,0.00010409
3.81469727,0.00017949
3.86238098,0.00034454
3.91006470,0.00041052
3.95774841,0.00031511
4.00543213,0.00017269
4.05311584,0.00004056
4.10079956,0.00007324
4.14848328,0.00012397
4.19616699,0.00015563
4.24385071,0.00016547
4.29153442,0.00015896
4.33921814,0.00018147
4.38690186,0.00019499
4.43458557,0.00015291
4.48226929,0.00013331
4.52995300,0.00013575
4.57763672,0.00006787
4.62532043,0.00008176
4.67300415,0.00014276
4.72068787,0.00014807
4.76837158,0.00019561
4.81605530,0.00015055
4.86373901,0.00005742
4.91142273,0.00006442
4.95910645,0.00014029
5.00679016,0.00022994
5.05447388,0.00025409
5.10215759,0.00023982
5.14984131,0.00022066
5.19752502,0.00012003
5.24520874,0.00005617
5.29289246,0.00014178
5.34057617,0.00016037
5.38825989,0.00014888
5.43594360,0.00012751
5.48362732,0.00003227
5.53131104,0.00012672
5.57899475,0.00019389
5.62667847,0.00021191
5.67436218,0.00017238
5.72204590,0.00014055
5.76972961,0.00020347
5.81741333,0.00023250
5.86509705,0.00025036
5.91278076,0.00024736
5.96046448,0.00017499
6.00814819,0.00011201
6.05583191,0.00008538
6.10351563,0.00006739
6.15119934,0.00009747
6.19888306,0.00011152
6.24656677,0.00011462
6.29425049,0.00007116
6.34193420,0.00001046
6.38961792,0.00009755
6.43730164,0.00024636
6.48498535,0.00030534
6.53266907,0.00029806
6.58035278,0.00025827
6.62803650,0.00017762
6.67572021,0.00011649
6.72340393,0.00010718
6.77108765,0.00016531
6.81877136,0.00018585
6.86645508,0.00012366
6.91413879,0.00007625
6.96182251,0.00012147
7.00950623,0.00021181
7.05718994,0.00023648
7.10487366,0.00020125
7.15255737,0.00008583
7.20024109,0.00008210
7.24792480,0.00022711
7.29560852,0.00033820
7.34329224,0.00040446
7.39097595,0.00041107
7.43865967,0.00038444
7.48634338,0.00033001
7.53402710,0.00025120
7.58171082,0.00015692
7.62939453,0.00006447
7.67707825,0.00011983
7.72476196,0.00016384
7.77244568,0.00017649
7.82012939,0.00024862
7.86781311,0.00030625
7.91549683,0.00036354
7.96318054,0.00037360
8.01086426,0.00031313
8.05854797,0.00018456
8.10623169,0.00010648
8.15391541,0.00013885
8.20159912,0.00019789
8.24928284,0.00023845
8.29696655,0.00023167
8.34465027,0.00023696
8.39233398,0.00020499
8.44001770,0.00009466
8.48770142,0.00007300
8.53538513,0.00018007
8.58306885,0.00025399
8.63075256,0.00024273
8.67843628,0.00018411
8.72612000,0.00014759
8.77380371,0.00011767
8.82148743,0.00009874
8.86917114,0.00014435
8.91685486,0.00016073
8.96453857,0.00012679
9.01222229,0.00014831
9.05990601,0.00022806
9.10758972,0.00029891
9.15527344,0.00033227
9.20295715,0.00030404
9.25064087,0.00029833
9.29832458,0.00028190
9.34600830,0.00023185
9.39369202,0.00020129
9.44137573,0.00013288
9.48905945,0.00005409
9.53674316,0.00002708
9.58442688,0.00006068
9.63211060,0.00007461
9.67979431,0.00010892
9.72747803,0.00016485
9.77516174,0.00018422
9.82284546,0.00017693
9.87052917,0.00018023
9.91821289,0.00019488
9.96589661,0.00017899
10.01358032,0.00019522
10.06126404,0.00022345
10.10894775,0.00019257
10.15663147,0.00011081
10.20431519,0.00004084
10.25199890,0.00010102
10.29968262,0.00013454
10.34736633,0.00015243
10.39505005,0.00012403
10.44273376,0.00006313
10.49041748,0.00003313
10.53810120,0.00006714
10.58578491,0.00009843
10.63346863,0.00017674
10.68115234,0.00022396
10.72883606,0.00023895
10.77651978,0.00023521
10.82420349,0.00024940
10.87188721,0.00024480
10.91957092,0.00016336
10.96725464,0.00008506
11.01493835,0.00002109
11.06262207,0.00012289
11.11030579,0.00017099
11.15798950,0.00013304
11.20567322,0.00009454
11.25335693,0.00009135
11.30104065,0.00006627
11.34872437,0.00001638
11.39640808,0.00004997
11.44409180,0.00016151
11.49177551,0.00025381
11.53945923,0.00027692
11.58714294,0.00026566
11.63482666,0.00018553
11.68251038,0.00015512
11.73019409,0.00023129
11.77787781,0.00022582
11.82556152,0.00013213
11.87324524,0.00003513
11.92092896,0.00008940
11.96861267,0.00018202
12.01629639,0.00019271
12.06398010,0.00016467
12.11166382,0.00023153
12.15934753,0.00019092
12.20703125,0.00002260
12.25471497,0.00010117
12.30239868,0.00017748
12.35008240,0.00023287
12.39776611,0.00021113
12.44544983,0.00018619
12.49313354,0.00018877
12.54081726,0.00020879
12.58850098,0.00033870
12.63618469,0.00042861
12.68386841,0.00046834
12.73155212,0.00045517
12.77923584,0.00035483
12.82691956,0.00023248
12.87460327,0.00013794
12.92228699,0.00010922
12.96997070,0.00017651
13.01765442,0.00026768
13.06533813,0.00026887
13.11302185,0.00025369
13.16070557,0.00023924
13.20838928,0.00020961
13.25607300,0.00017368
13.30375671,0.00014528
13.35144043,0.00013540
13.39912415,0.00012559
13.44680786,0.00008979
13.49449158,0.00010418
13.54217529,0.00016332
13.58985901,0.00025822
13.63754272,0.00033242
13.68522644,0.00032843
13.73291016,0.00026316
13.78059387,0.00018037
13.82827759,0.00008610
13.87596130,0.00009902
13.92364502,0.00012030
13.97132874,0.00018279
14.01901245,0.00023208
14.06669617,0.00028403
14.11437988,0.00027803
14.16206360,0.00017211
14.20974731,0.00014707
14.25743103,0.00024176
14.30511475,0.00033875
14.35279846,0.00038785
14.40048218,0.00032595
14.44816589,0.00017675
14.49584961,0.00002438
14.54353333,0.00013498
14.59121704,0.00021475
14.63890076,0.00021874
14.68658447,0.00012347
14.73426819,0.00003886
14.78195190,0.00005399
14.82963562,0.00009363
14.87731934,0.00012444
14.92500305,0.00019490
14.97268677,0.00024791
15.02037048,0.00023795
15.06805420,0.00023443
15.11573792,0.00024592
15.16342163,0.00020071
15.21110535,0.00014615
15.25878906,0.00013787
15.30647278,0.00012512
15.35415649,0.00011101
15.40184021,0.00018638
15.44952393,0.00021537
15.49720764,0.00016845
15.54489136,0.00012681
15.59257507,0.00009382
15.64025879,0.00009505
15.68794250,0.00012238
15.73562622,0.00010358
15.78330994,0.00011829
15.83099365,0.00019890
15.87867737,0.00026128
15.92636108,0.00025824
15.97404480,0.00023014
16.02172852,0.00016372
16.06941223,0.00011063
16.11709595,0.00013689
16.16477966,0.00014309
16.21246338,0.00010936
16.26014709,0.00010074
16.30783081,0.00012381
16.35551453,0.00014804
16.40319824,0.00013309
16.45088196,0.00012660
16.49856567,0.00012120
16.54624939,0.00008486
16.59393311,0.00009937
16.64161682,0.00012350
16.68930054,0.00013359
16.73698425,0.00017471
16.78466797,0.00018515
16.83235168,0.00015351
16.88003540,0.00012489
16.92771912,0.00014586
16.97540283,0.00014301
17.02308655,0.00012122
17.07077026,0.00013191
17.11845398,0.00014505
17.16613770,0.00016227
17.21382141,0.00013019
17.26150513,0.00013071
17.30918884,0.00012775
17.35687256,0.00007507
17.40455627,0.00008747
17.45223999,0.00010329
17.49992371,0.00012298
17.54760742,0.00011602
17.59529114,0.00017655
17.64297485,0.00023189
17.69065857,0.00026528
17.73834229,0.00026164
17.78602600,0.00025395
17.83370972,0.00030058
17.88139343,0.00031681
17.92907715,0.00028761
17.97676086,0.00022611
18.02444458,0.00014271
18.07212830,0.00019333
18.11981201,0.00032274
18.16749573,0.00040556
18.21517944,0.00044507
18.26286316,0.00040952
18.31054688,0.00029860
18.35823059,0.00018303
18.40591431,0.00012677
18.45359802,0.00011572
18.50128174,0.00018173
18.54896545,0.00028613
18.59664917,0.00036682
18.64433289,0.00040545
18.69201660,0.00038121
18.73970032,0.00029141
18.78738403,0.00021749
18.83506775,0.00027354
18.88275146,0.00030972
18.93043518,0.00028540
18.97811890,0.00022207
19.02580261,0.00010705
19.07348633,0.00004703
19.12117004,0.00012778
19.16885376,0.00019456
19.21653748,0.00023326
19.26422119,0.00023120
19.31190491,0.00021729
19.35958862,0.00020660
19.40727234,0.00022341
19.45495605,0.00022973
19.50263977,0.00011032
19.55032349,0.00006033
19.59800720,0.00018763
19.64569092,0.00024599
19.69337463,0.00020405
19.74105835,0.00011718
19.78874207,0.00007004
19.83642578,0.00008838
19.88410950,0.00010025
19.93179321,0.00018692
19.97947693,0.00031999
20.02716064,0.00036489
20.07484436,0.00032406
20.12252808,0.00019702
20.17021179,0.00011200
20.21789551,0.00014895
20.26557922,0.00012974
20.31326294,0.00007555
20.36094666,0.00007343
20.40863037,0.00007478
20.45631409,0.00009113
20.50399780,0.00008224
20.55168152,0.00003206
20.59936523,0.00008464
20.64704895,0.00010526
20.69473267,0.00014090
20.74241638,0.00017674
20.79010010,0.00018074
20.83778381,0.00019534
20.88546753,0.00014535
20.93315125,0.00012221
20.98083496,0.00020530
21.02851868,0.00019351
21.07620239,0.00015310
21.12388611,0.00008619
21.17156982,0.00002153
21.21925354,0.00002535
21.26693726,0.00010992
21.31462097,0.00016762
21.36230469,0.00021083
21.40998840,0.00024857
21.45767212,0.00023736
21.50535583,0.00017535
21.55303955,0.00009733
21.60072327,0.00013144
21.64840698,0.00018434
21.69609070,0.00020662
21.74377441,0.00023471
21.79145813,0.00025351
21.83914185,0.00024242
21.88682556,0.00020832
21.93450928,0.00014497
21.98219299,0.00007823
22.02987671,0.00029687
22.07756042,0.00044739
22.12524414,0.00043902
22.17292786,0.00033163
22.22061157,0.00013475
22.26829529,0.00005084
22.31597900,0.00013178
22.36366272,0.00013086
22.41134644,0.00014782
22.45903015,0.00017716
22.50671387,0.00024580
22.55439758,0.00035977
22.60208130,0.00046153
22.64976501,0.00046993
22.69744873,0.00043830
22.74513245,0.00036499
22.79281616,0.00028345
22.84049988,0.00021057
22.88818359,0.00019168
22.93586731,0.00017943
22.98355103,0.00012069
23.03123474,0.00009366
23.07891846,0.00010166
23.12660217,0.00015814
23.17428589,0.00025152
23.22196960,0.00027802
23.26965332,0.00023714
23.31733704,0.00018788
23.36502075,0.00011309
23.41270447,0.00006018
23.46038818,0.00008483
23.50807190,0.00012518
23.55575562,0.00012642
23.60343933,0.00016195
23.65112305,0.00021782
23.69880676,0.00028603
23.74649048,0.00032336
23.79417419,0.00030801
23.84185791,0.00024089
23.88954163,0.00014871
23.93722534,0.00006189
23.98490906,0.00006354
24.03259277,0.00011636
24.08027649,0.00017614
24.12796021,0.00021779
24.17564392,0.00024228
24.22332764,0.00020903
24.27101135,0.00013274
24.31869507,0.00009228
24.36637878,0.00013059
24.41406250,0.00017208
24.46174622,0.00024716
24.50942993,0.00030248
24.55711365,0.00023236
24.60479736,0.00012523
24.65248108,0.00013207
24.70016479,0.00023319
24.74784851,0.00032373
24.79553223,0.00034612
24.84321594,0.00034688
24.89089966,0.00031875
24.93858337,0.00021990
24.98626709,0.00013187
25.03395081,0.00003747
25.08163452,0.00002648
25.12931824,0.00005385
25.17700195,0.00001353
25.22468567,0.00003661
25.27236938,0.00014747
25.32005310,0.00018925
25.36773682,0.00016954
25.41542053,0.00015776
25.46310425,0.00014041
25.51078796,0.00014689
25.55847168,0.00019980
25.60615540,0.00028404
25.65383911,0.00034580
25.70152283,0.00032633
25.74920654,0.00033266
25.79689026,0.00033911
25.84457397,0.00026187
25.89225769,0.00013703
25.93994141,0.00006759
25.98762512,0.00014850
26.03530884,0.00024367
26.08299255,0.00024796
26.13067627,0.00019712
26.17835999,0.00019124
26.22604370,0.00025605
26.27372742,0.00032099
26.32141113,0.00031828
26.36909485,0.00026740
26.41677856,0.00021658
26.46446228,0.00014668
26.51214600,0.00006426
26.55982971,0.00009015
26.60751343,0.00013849
26.65519714,0.00014147
26.70288086,0.00012636
26.75056458,0.00010349
26.79824829,0.00008426
26.84593201,0.00005538
26.89361572,0.00007669
26.94129944,0.00013015
26.98898315,0.00020596
27.03666687,0.00023953
27.08435059,0.00019407
27.13203430,0.00020037
27.17971802,0.00021480
27.22740173,0.00018777
27.27508545,0.00021093
27.32276917,0.00026557
27.37045288,0.00024123
27.41813660,0.00017222
27.46582031,0.00014902
27.51350403,0.00011624
27.56118774,0.00006096
27.60887146,0.00004751
27.65655518,0.00008007
27.70423889,0.00010292
