Частота,Канал A
(MГц),(В)

0.00000000,3.55346800
0.00152588,2.46904000
0.00305176,1.68470200
0.00457764,0.53629090
0.00610352,0.05005622
0.00762939,0.00033255
0.00915527,0.00025557
0.01068115,0.00037918
0.01220703,0.00010310
0.01373291,0.00043043
0.01525879,0.00021985
0.01678467,0.00040849
0.01831055,0.00025070
0.01983643,0.00032562
0.02136230,0.00014257
0.02288818,0.00034959
0.02441406,0.00015719
0.02593994,0.00041633
0.02746582,0.00020878
0.02899170,0.00037287
0.03051758,0.00012891
0.03204346,0.00020790
0.03356934,0.00014446
0.03509521,0.00017214
0.03662109,0.00012255
0.03814697,0.00034301
0.03967285,0.00028854
0.04119873,0.00040072
0.04272461,0.00029458
0.04425049,0.00022949
0.04577637,0.00016430
0.04730225,0.00027888
0.04882813,0.00012927
0.05035400,0.00027187
0.05187988,0.00003361
0.05340576,0.00013757
0.05493164,0.00010328
0.05645752,0.00012386
0.05798340,0.00016413
0.05950928,0.00024002
0.06103516,0.00017558
0.06256104,0.00025689
0.06408691,0.00012626
0.06561279,0.00029837
0.06713867,0.00017086
0.06866455,0.00024018
0.07019043,0.00006867
0.07171631,0.00011830
0.07324219,0.00019557
0.07476807,0.00011503
0.07629395,0.00017670
0.07781982,0.00013137
0.07934570,0.00017075
0.08087158,0.00021069
0.08239746,0.00014574
0.08392334,0.00016771
0.08544922,0.00017175
0.08697510,0.00021154
0.08850098,0.00015597
0.09002686,0.00009533
0.09155273,0.00003161
0.09307861,0.00001579
0.09460449,0.00002797
0.09613037,0.00009677
0.09765625,0.00017260
0.09918213,0.00022779
0.10070801,0.00025374
0.10223389,0.00020377
0.10375977,0.00018975
0.10528564,0.00013975
0.10681152,0.00012640
0.10833740,0.00010143
0.10986328,0.00012099
0.11138916,0.00014158
0.11291504,0.00015639
0.11444092,0.00022044
0.11596680,0.00018424
0.11749268,0.00021922
0.11901855,0.00019667
0.12054443,0.00027049
0.12207031,0.00021551
0.12359619,0.00021004
0.12512207,0.00009451
0.12664795,0.00014336
0.12817383,0.00010825
0.12969971,0.00018538
0.13122559,0.00016750
0.13275146,0.00021823
0.13427734,0.00015492
0.13580322,0.00018952
0.13732910,0.00012104
0.13885498,0.00015586
0.14038086,0.00007001
0.14190674,0.00012775
0.14343262,0.00007148
0.14495850,0.00016738
0.14648438,0.00005404
0.14801025,0.00005263
0.14953613,0.00010945
0.15106201,0.00012761
0.15258789,0.00014934
0.15411377,0.00004047
0.15563965,0.00002914
0.15716553,0.00009007
0.15869141,0.00004274
0.16021729,0.00003751
0.16174316,0.00145760
