Частота,Канал A
(kГц),(В)

0.00000000,3.57587500
0.04768372,2.48408000
0.09536743,1.69551300
0.14305115,0.54152960
0.19073486,0.05158943
0.23841858,0.00085737
0.28610229,0.00336104
0.33378601,0.00465578
0.38146973,0.00528755
0.42915344,0.00418748
0.47683716,0.00379621
0.52452087,0.00337555
0.57220459,0.00461682
0.61988831,0.00457079
0.66757202,0.00505705
0.71525574,0.00310748
0.76293945,0.00102756
0.81062317,0.00546504
0.85830688,0.06184217
0.90599060,0.19051990
0.95367432,0.27554320
1.00135803,0.28355880
1.04904175,0.27368130
1.09672546,0.18340830
1.14440918,0.05672323
1.19209290,0.00524304
1.23977661,0.00157638
1.28746033,0.00356498
1.33514404,0.00530302
1.38282776,0.00490483
1.43051147,0.00469632
1.47819519,0.00343549
1.52587891,0.00343627
1.57356262,0.00407577
1.62124634,0.00468553
1.66893005,0.00464062
1.71661377,0.00294380
1.76429749,0.00041828
1.81198120,0.00604986
1.85966492,0.06361351
1.90734863,0.19203900
1.95503235,0.27287850
2.00271606,0.28035270
2.05039978,0.26890570
2.09808350,0.17761970
2.14576721,0.05325101
2.19345093,0.00531543
2.24113464,0.00206278
2.28881836,0.00392710
2.33650208,0.00517905
2.38418579,0.00536382
2.43186951,0.00483601
2.47955322,0.00399227
2.52723694,0.00347856
2.57492065,0.00413408
2.62260437,0.00432952
2.67028809,0.00437114
2.71797180,0.00248761
2.76565552,0.00014828
2.81333923,0.00610446
2.86102295,0.06518023
2.90870667,0.19151300
2.95639038,0.26821150
3.00407410,0.27451050
3.05175781,0.26215360
3.09944153,0.17006520
3.14712524,0.04975543
3.19480896,0.00513149
3.24249268,0.00246163
3.29017639,0.00399931
3.33786011,0.00493343
3.38554382,0.00480054
3.43322754,0.00429596
3.48091125,0.00340685
3.52859497,0.00266516
3.57627869,0.00313807
3.62396240,0.00342836
3.67164612,0.00382225
3.71932983,0.00232398
3.76701355,0.00007891
3.81469727,0.00668732
3.86238098,0.06636554
3.91006470,0.18940810
3.95774841,0.26135950
4.00543213,0.26667830
4.05311584,0.25343920
4.10079956,0.16160210
4.14848328,0.04598748
4.19616699,0.00459643
4.24385071,0.00227825
4.29153442,0.00319273
4.33921814,0.00391453
4.38690186,0.00373195
4.43458557,0.00338952
4.48226929,0.00263596
4.52995300,0.00230611
4.57763672,0.00285224
4.62532043,0.00316683
4.67300415,0.00355266
4.72068787,0.00214706
4.76837158,0.00096925
4.81605530,0.00613357
4.86373901,0.06578149
4.91142273,0.18479880
4.95910645,0.25161940
5.00679016,0.25639160
5.05447388,0.24253550
5.10215759,0.15220510
5.14984131,0.04240929
5.19752502,0.00481565
5.24520874,0.00292373
5.29289246,0.00358743
5.34057617,0.00362727
5.38825989,0.00325028
5.43594360,0.00277524
5.48362732,0.00226955
5.53131104,0.00192483
5.57899475,0.00237167
5.62667847,0.00251879
5.67436218,0.00288088
5.72204590,0.00186504
5.76972961,0.00081536
5.81741333,0.00702529
5.86509705,0.06636814
5.91278076,0.18013430
5.96046448,0.24128120
6.00814819,0.24494380
6.05583191,0.23036200
6.10351563,0.14211560
6.15119934,0.03889670
6.19888306,0.00496409
6.24656677,0.00332318
6.29425049,0.00376725
6.34193420,0.00356976
6.38961792,0.00329538
6.43730164,0.00293774
6.48498535,0.00246097
6.53266907,0.00195509
6.58035278,0.00192026
6.62803650,0.00178965
6.67572021,0.00234771
6.72340393,0.00185308
6.77108765,0.00136948
6.81877136,0.00673920
6.86645508,0.06479053
6.91413879,0.17216440
6.96182251,0.22759660
7.00950623,0.23058040
7.05718994,0.21546350
7.10487366,0.13018790
7.15255737,0.03406560
7.20024109,0.00372066
7.24792480,0.00240701
7.29560852,0.00272940
7.34329224,0.00257584
7.39097595,0.00251800
7.43865967,0.00248964
7.48634338,0.00226040
7.53402710,0.00171615
7.58171082,0.00117514
7.62939453,0.00108593
7.67707825,0.00248139
7.72476196,0.00279526
7.77244568,0.00236745
7.82012939,0.00699317
7.86781311,0.06330822
7.91549683,0.16397870
7.96318054,0.21383950
8.01086426,0.21623240
8.05854797,0.20099830
8.10623169,0.11973490
8.15391541,0.03112618
8.20159912,0.00369390
8.24928284,0.00231888
8.29696655,0.00231775
8.34465027,0.00168748
8.39233398,0.00177410
8.44001770,0.00202698
8.48770142,0.00208233
8.53538513,0.00156362
8.58306885,0.00084239
8.63075256,0.00082701
8.67843628,0.00213614
8.72612000,0.00243470
8.77380371,0.00186539
8.82148743,0.00725814
8.86917114,0.06082627
8.91685486,0.15333420
8.96453857,0.19728870
9.01222229,0.19912820
9.05990601,0.18381680
9.10758972,0.10740910
9.15527344,0.02718965
9.20295715,0.00377211
9.25064087,0.00299936
9.29832458,0.00288498
9.34600830,0.00162200
9.39369202,0.00105586
9.44137573,0.00163018
9.48905945,0.00202618
9.53674316,0.00171085
9.58442688,0.00098277
9.63211060,0.00042938
9.67979431,0.00171370
9.72747803,0.00231906
9.77516174,0.00204421
9.82284546,0.00705993
9.87052917,0.05760699
9.91821289,0.14199700
9.96589661,0.18034710
10.01358032,0.18177660
10.06126404,0.16668680
10.10894775,0.09562545
10.15663147,0.02356709
10.20431519,0.00317673
10.25199890,0.00255701
10.29968262,0.00255642
10.34736633,0.00135902
10.39505005,0.00093308
10.44273376,0.00163758
10.49041748,0.00222009
10.53810120,0.00217171
10.58578491,0.00140550
10.63346863,0.00110016
10.68115234,0.00193900
10.72883606,0.00262210
10.77651978,0.00232180
10.82420349,0.00694625
10.87188721,0.05362113
10.91957092,0.12911470
10.96725464,0.16220530
11.01493835,0.16334840
11.06262207,0.14890910
11.11030579,0.08410257
11.15798950,0.02059140
11.20567322,0.00307402
11.25335693,0.00244813
11.30104065,0.00240268
11.34872437,0.00128861
11.39640808,0.00035997
11.44409180,0.00131883
11.49177551,0.00180472
11.53945923,0.00194630
11.58714294,0.00173183
11.63482666,0.00187809
11.68251038,0.00232054
11.73019409,0.00267123
11.77787781,0.00219340
11.82556152,0.00682793
11.87324524,0.04963359
11.92092896,0.11614730
11.96861267,0.14388530
12.01629639,0.14441330
12.06398010,0.13025660
12.11166382,0.07192954
12.15934753,0.01692801
12.20703125,0.00246158
12.25471497,0.00217309
12.30239868,0.00232931
12.35008240,0.00123757
12.39776611,0.00085407
12.44544983,0.00166588
12.49313354,0.00220609
12.54081726,0.00253930
12.58850098,0.00236680
12.63618469,0.00261437
12.68386841,0.00290705
12.73155212,0.00280523
12.77923584,0.00218160
12.82691956,0.00685264
12.87460327,0.04496763
12.92228699,0.10230980
12.96997070,0.12520970
13.01765442,0.12564910
13.06533813,0.11258030
13.11302185,0.06122446
13.16070557,0.01432798
13.20838928,0.00211532
13.25607300,0.00169231
13.30375671,0.00238112
13.35144043,0.00214886
13.39912415,0.00198380
13.44680786,0.00238794
13.49449158,0.00264407
13.54217529,0.00328976
13.58985901,0.00334318
13.63754272,0.00351274
13.68522644,0.00335975
13.73291016,0.00299601
13.78059387,0.00242316
13.82827759,0.00646335
13.87596130,0.03953500
13.92364502,0.08753341
13.97132874,0.10585370
14.01901245,0.10596970
14.06669617,0.09414442
14.11437988,0.05026344
14.16206360,0.01165396
14.20974731,0.00206456
14.25743103,0.00227199
14.30511475,0.00324114
14.35279846,0.00297780
14.40048218,0.00251502
14.44816589,0.00255335
14.49584961,0.00268625
14.54353333,0.00358724
14.59121704,0.00399775
14.63890076,0.00412920
14.68658447,0.00371644
14.73426819,0.00285031
14.78195190,0.00233903
14.82963562,0.00614336
14.87731934,0.03343201
14.92500305,0.07218862
14.97268677,0.08644024
15.02037048,0.08647802
15.06805420,0.07616141
15.11573792,0.04002689
15.16342163,0.00917974
15.21110535,0.00150246
15.25878906,0.00164251
15.30647278,0.00295195
15.35415649,0.00299557
15.40184021,0.00273766
15.44952393,0.00276623
15.49720764,0.00284337
15.54489136,0.00384925
15.59257507,0.00445394
15.64025879,0.00490807
15.68794250,0.00460825
15.73562622,0.00339140
15.78330994,0.00231840
15.83099365,0.00486473
15.87867737,0.02688706
15.92636108,0.05683834
15.97404480,0.06723756
16.02172852,0.06724024
16.06941223,0.05871255
16.11709595,0.03024848
16.16477966,0.00674642
16.21246338,0.00086844
16.26014709,0.00176935
16.30783081,0.00370235
16.35551453,0.00394451
16.40319824,0.00349684
16.45088196,0.00327119
16.49856567,0.00299841
16.54624939,0.00400735
16.59393311,0.00469810
16.64161682,0.00515196
16.68930054,0.00461418
16.73698425,0.00309253
16.78466797,0.00191800
16.83235168,0.00418449
16.88003540,0.02069909
16.92771912,0.04233903
16.97540283,0.04963917
17.02308655,0.04954189
17.07077026,0.04302238
17.11845398,0.02224848
17.16613770,0.00568475
17.21382141,0.00147948
17.26150513,0.00060955
17.30918884,0.00276197
17.35687256,0.00328998
17.40455627,0.00312112
17.45223999,0.00292534
17.49992371,0.00291543
17.54760742,0.00412061
17.59529114,0.00481346
17.64297485,0.00519056
17.69065857,0.00452699
17.73834229,0.00247589
17.78602600,0.00116660
17.83370972,0.00326685
17.88139343,0.01413600
17.92907715,0.02783154
17.97676086,0.03232456
18.02444458,0.03233562
18.07212830,0.02789188
18.11981201,0.01444027
18.16749573,0.00388971
18.21517944,0.00078879
18.26286316,0.00156291
18.31054688,0.00393029
18.35823059,0.00451090
18.40591431,0.00435259
18.45359802,0.00397978
18.50128174,0.00348211
18.54896545,0.00437070
18.59664917,0.00496606
18.64433289,0.00525855
18.69201660,0.00456572
18.73970032,0.00259095
18.78738403,0.00171376
18.83506775,0.00260406
18.88275146,0.00786517
18.93043518,0.01440617
18.97811890,0.01643871
19.02580261,0.01631724
19.07348633,0.01390173
19.12117004,0.00741801
19.16885376,0.00261827
19.21653748,0.00116753
19.26422119,0.00138407
19.31190491,0.00354431
19.35958862,0.00420666
19.40727234,0.00407514
19.45495605,0.00371032
19.50263977,0.00341867
19.55032349,0.00441704
19.59800720,0.00493553
19.64569092,0.00517769
19.69337463,0.00430657
19.74105835,0.00189705
19.78874207,0.00135490
19.83642578,0.00216057
19.88410950,0.00245971
19.93179321,0.00208699
19.97947693,0.00153057
20.02716064,0.00151631
20.07484436,0.00211149
20.12252808,0.00224991
20.17021179,0.00174537
20.21789551,0.00093880
20.26557922,0.00197919
20.31326294,0.00418878
20.36094666,0.00472256
20.40863037,0.00448425
20.45631409,0.00394749
20.50399780,0.00351092
20.55168152,0.00453460
20.59936523,0.00509918
20.64704895,0.00526034
20.69473267,0.00432427
20.74241638,0.00167590
20.79010010,0.00094009
20.83778381,0.00151175
20.88546753,0.00563999
20.93315125,0.01123815
20.98083496,0.01247598
21.02851868,0.01237120
21.07620239,0.01030121
21.12388611,0.00443628
21.17156982,0.00150601
21.21925354,0.00119806
21.26693726,0.00214428
21.31462097,0.00389096
21.36230469,0.00428909
21.40998840,0.00406488
21.45767212,0.00368515
21.50535583,0.00352059
21.55303955,0.00451362
21.60072327,0.00496815
21.64840698,0.00491604
21.69609070,0.00370974
21.74377441,0.00095162
21.79145813,0.00100414
21.83914185,0.00146532
21.88682556,0.01065132
21.93450928,0.02131130
21.98219299,0.02385391
22.02987671,0.02384555
22.07756042,0.01973514
22.12524414,0.00873910
22.17292786,0.00279602
22.22061157,0.00237269
22.26829529,0.00304094
22.31597900,0.00463324
22.36366272,0.00496621
22.41134644,0.00453425
22.45903015,0.00389569
22.50671387,0.00326802
22.55439758,0.00394429
22.60208130,0.00446346
22.64976501,0.00482207
22.69744873,0.00409092
22.74513245,0.00154292
22.79281616,0.00027306
22.84049988,0.00286662
22.88818359,0.01659295
22.93586731,0.03140343
22.98355103,0.03490563
23.03123474,0.03484424
23.07891846,0.02847453
23.12660217,0.01244864
23.17428589,0.00282058
23.22196960,0.00193010
23.26965332,0.00314190
23.31733704,0.00467585
23.36502075,0.00490631
23.41270447,0.00451263
23.46038818,0.00378173
23.50807190,0.00316581
23.55575562,0.00373835
23.60343933,0.00399511
23.65112305,0.00408372
23.69880676,0.00321677
23.74649048,0.00095083
23.79417419,0.00082354
23.84185791,0.00375695
23.88954163,0.02147097
23.93722534,0.03981319
23.98490906,0.04383206
24.03259277,0.04349630
24.08027649,0.03491690
24.12796021,0.01480268
24.17564392,0.00342073
24.22332764,0.00254342
24.27101135,0.00320965
24.31869507,0.00416025
24.36637878,0.00409894
24.41406250,0.00358213
24.46174622,0.00299519
24.50942993,0.00242889
24.55711365,0.00281257
24.60479736,0.00295767
24.65248108,0.00313757
24.70016479,0.00260123
24.74784851,0.00141497
24.79553223,0.00165270
24.84321594,0.00413016
24.89089966,0.02488841
24.93858337,0.04564757
24.98626709,0.05000577
25.03395081,0.04960318
25.08163452,0.03941120
25.12931824,0.01627593
25.17700195,0.00325074
25.22468567,0.00227792
25.27236938,0.00285087
25.32005310,0.00350021
25.36773682,0.00353318
25.41542053,0.00339931
25.46310425,0.00310273
25.51078796,0.00276866
25.55847168,0.00286637
25.60615540,0.00265050
25.65383911,0.00276179
25.70152283,0.00277280
25.74920654,0.00190644
25.79689026,0.00138787
25.84457397,0.00599736
25.89225769,0.02913498
25.93994141,0.05130012
25.98762512,0.05558580
26.03530884,0.05478501
26.08299255,0.04287060
26.13067627,0.01741633
26.17835999,0.00361369
26.22604370,0.00262716
26.27372742,0.00310420
26.32141113,0.00345110
26.36909485,0.00333440
26.41677856,0.00304880
26.46446228,0.00275602
26.51214600,0.00238461
26.55982971,0.00232203
26.60751343,0.00225486
26.65519714,0.00276037
26.70288086,0.00292776
26.75056458,0.00209246
26.79824829,0.00136262
26.84593201,0.00713430
26.89361572,0.03209312
26.94129944,0.05527410
26.98898315,0.05956874
27.03666687,0.05878488
27.08435059,0.04554633
27.13203430,0.01848128
27.17971802,0.00411996
27.22740173,0.00282141
27.27508545,0.00308025
27.32276917,0.00292217
27.37045288,0.00241627
27.41813660,0.00241065
27.46582031,0.00245473
27.51350403,0.00215788
27.56118774,0.00178651
27.60887146,0.00125409
27.65655518,0.00173483
27.70423889,0.00229783
