Частота,Канал A
(kГц),(В)

0.00000000,3.89026400
0.04768372,2.70210200
0.09536743,1.84306400
0.14305115,0.58635190
0.19073486,0.05357246
0.23841858,0.00231030
0.28610229,0.00191760
0.33378601,0.00176179
0.38146973,0.00258229
0.42915344,0.00326912
0.47683716,0.01252455
0.52452087,0.03175348
0.57220459,0.04307773
0.61988831,0.04297511
0.66757202,0.04060433
0.71525574,0.02566583
0.76293945,0.00695073
0.81062317,0.00059313
0.85830688,0.00125212
0.90599060,0.00144710
0.95367432,0.00126658
1.00135803,0.00164938
1.04904175,0.00101522
1.09672546,0.00411486
1.14440918,0.01032695
1.19209290,0.01399386
1.23977661,0.01364644
1.28746033,0.01203136
1.33514404,0.00633543
1.38282776,0.00223857
1.43051147,0.00377077
1.47819519,0.00309301
1.52587891,0.00218025
1.57356262,0.00210750
1.62124634,0.00312913
1.66893005,0.00307730
1.71661377,0.00487184
1.76429749,0.00792651
1.81198120,0.00898706
1.85966492,0.00828346
1.90734863,0.00795694
1.95503235,0.00498982
2.00271606,0.00233987
2.05039978,0.00221757
2.09808350,0.00237962
2.14576721,0.00225700
2.19345093,0.00225406
2.24113464,0.00207382
2.28881836,0.00209540
2.33650208,0.00506034
2.38418579,0.00984520
2.43186951,0.01137396
2.47955322,0.01054296
2.52723694,0.00838322
2.57492065,0.00365632
2.62260437,0.00214874
2.67028809,0.00299708
2.71797180,0.00226691
2.76565552,0.00143580
2.81333923,0.00169927
2.86102295,0.00216842
2.90870667,0.00197962
2.95639038,0.00160665
3.00407410,0.00104976
3.05175781,0.00019116
3.09944153,0.00089560
3.14712524,0.00243882
3.19480896,0.00340863
3.24249268,0.00376897
3.29017639,0.00392295
3.33786011,0.00273807
3.38554382,0.00156992
3.43322754,0.00169528
3.48091125,0.00202718
3.52859497,0.00219956
3.57627869,0.00435507
3.62396240,0.00698119
3.67164612,0.00724455
3.71932983,0.00654657
3.76701355,0.00510815
3.81469727,0.00186297
3.86238098,0.00079183
3.91006470,0.00122022
3.95774841,0.00118860
4.00543213,0.00132859
4.05311584,0.00143613
4.10079956,0.00122327
4.14848328,0.00102177
4.19616699,0.00251793
4.24385071,0.00422924
4.29153442,0.00447707
4.33921814,0.00350896
4.38690186,0.00295546
4.43458557,0.00399222
4.48226929,0.00499268
4.52995300,0.00493649
4.57763672,0.00287459
4.62532043,0.00145180
4.67300415,0.00175117
4.72068787,0.00220683
4.76837158,0.00212918
4.81605530,0.00275694
4.86373901,0.00314305
4.91142273,0.00291043
4.95910645,0.00317595
5.00679016,0.00356678
5.05447388,0.00292268
5.10215759,0.00284316
5.14984131,0.00296068
5.19752502,0.00237379
5.24520874,0.00206630
5.29289246,0.00220335
5.34057617,0.00184743
5.38825989,0.00196644
5.43594360,0.00378887
5.48362732,0.00529947
5.53131104,0.00484385
5.57899475,0.00352484
5.62667847,0.00253558
5.67436218,0.00349702
5.72204590,0.00455876
5.76972961,0.00411685
5.81741333,0.00222696
5.86509705,0.00117505
5.91278076,0.00140438
5.96046448,0.00139003
6.00814819,0.00119765
6.05583191,0.00131093
6.10351563,0.00118454
6.15119934,0.00030621
6.19888306,0.00262324
6.24656677,0.00561582
6.29425049,0.00679304
6.34193420,0.00751728
6.38961792,0.00670917
6.43730164,0.00380217
6.48498535,0.00246657
6.53266907,0.00247351
6.58035278,0.00220023
6.62803650,0.00232052
6.67572021,0.00360444
6.72340393,0.00414716
6.77108765,0.00366183
6.81877136,0.00312518
6.86645508,0.00197882
6.91413879,0.00058290
6.96182251,0.00042128
7.00950623,0.00104144
7.05718994,0.00139457
7.10487366,0.00172964
7.15255737,0.00175475
7.20024109,0.00117771
7.24792480,0.00106559
7.29560852,0.00216538
7.34329224,0.00273648
7.39097595,0.00173076
7.43865967,0.00485432
7.48634338,0.00891342
7.53402710,0.01060927
7.58171082,0.01128518
7.62939453,0.00869608
7.67707825,0.00373676
7.72476196,0.00156931
7.77244568,0.00150074
7.82012939,0.00133774
7.86781311,0.00131447
7.91549683,0.00166644
7.96318054,0.00167615
8.01086426,0.00275391
8.05854797,0.00632512
8.10623169,0.00868507
8.15391541,0.00885182
8.20159912,0.00919778
8.24928284,0.00719808
8.29696655,0.00385501
8.34465027,0.00286329
8.39233398,0.00264009
8.44001770,0.00183770
8.48770142,0.00210990
8.53538513,0.00321710
8.58306885,0.00322676
8.63075256,0.00251789
8.67843628,0.00773230
8.72612000,0.01194646
8.77380371,0.01305386
8.82148743,0.01260249
8.86917114,0.00806174
8.91685486,0.00245095
8.96453857,0.00133746
9.01222229,0.00150710
9.05990601,0.00127187
9.10758972,0.00130806
9.15527344,0.00147230
9.20295715,0.00024768
9.25064087,0.01070888
9.29832458,0.03054289
9.34600830,0.04140594
9.39369202,0.04292666
9.44137573,0.04121493
9.48905945,0.02615010
9.53674316,0.00844492
9.58442688,0.00294504
9.63211060,0.00209402
9.67979431,0.00135865
9.72747803,0.00151935
9.77516174,0.00225115
9.82284546,0.00417097
9.87052917,0.01937426
9.91821289,0.04525667
9.96589661,0.05668375
10.01358032,0.05705600
10.06126404,0.05301047
10.10894775,0.03121326
10.15663147,0.00898137
10.20431519,0.00321769
10.25199890,0.00243180
10.29968262,0.00168120
10.34736633,0.00189989
10.39505005,0.00249514
10.44273376,0.00458340
10.49041748,0.01749234
10.53810120,0.03713052
10.58578491,0.04422902
10.63346863,0.04362629
10.68115234,0.03862895
10.72883606,0.02028941
10.77651978,0.00368828
10.82420349,0.00105701
10.87188721,0.00168506
10.91957092,0.00158276
10.96725464,0.00167129
11.01493835,0.00163476
11.06262207,0.00144856
11.11030579,0.00580050
11.15798950,0.01249428
11.20567322,0.01469516
11.25335693,0.01410599
11.30104065,0.01125666
11.34872437,0.00470277
11.39640808,0.00272569
11.44409180,0.00366985
11.49177551,0.00271742
11.53945923,0.00162639
11.58714294,0.00204376
11.63482666,0.00265700
11.68251038,0.00295680
11.73019409,0.00521784
11.77787781,0.00818018
11.82556152,0.00844057
11.87324524,0.00819141
11.92092896,0.00718373
11.96861267,0.00390404
12.01629639,0.00174212
12.06398010,0.00181918
12.11166382,0.00169687
12.15934753,0.00148682
12.20703125,0.00168014
12.25471497,0.00158356
12.30239868,0.00234103
12.35008240,0.00640360
12.39776611,0.01070943
12.44544983,0.01125396
12.49313354,0.01021645
12.54081726,0.00733533
12.58850098,0.00247479
12.63618469,0.00217462
12.68386841,0.00250268
12.73155212,0.00152646
12.77923584,0.00102371
12.82691956,0.00152605
12.87460327,0.00174598
12.92228699,0.00140961
12.96997070,0.00129196
13.01765442,0.00120614
13.06533813,0.00098101
13.11302185,0.00094472
13.16070557,0.00241695
13.20838928,0.00333793
13.25607300,0.00402731
13.30375671,0.00401803
13.35144043,0.00262186
13.39912415,0.00172186
13.44680786,0.00207215
13.49449158,0.00220026
13.54217529,0.00264439
13.58985901,0.00513521
13.63754272,0.00714989
13.68522644,0.00677369
13.73291016,0.00609644
13.78059387,0.00410496
13.82827759,0.00099334
13.87596130,0.00069754
13.92364502,0.00114684
13.97132874,0.00129568
14.01901245,0.00142566
14.06669617,0.00156915
14.11437988,0.00110447
14.16206360,0.00133683
14.20974731,0.00323901
14.25743103,0.00466434
14.30511475,0.00425869
14.35279846,0.00311150
14.40048218,0.00300363
14.44816589,0.00425277
14.49584961,0.00527487
14.54353333,0.00458441
14.59121704,0.00248699
14.63890076,0.00153845
14.68658447,0.00194516
14.73426819,0.00207986
14.78195190,0.00223345
14.82963562,0.00297949
14.87731934,0.00313236
14.92500305,0.00281865
14.97268677,0.00340095
15.02037048,0.00364290
15.06805420,0.00318507
15.11573792,0.00345026
15.16342163,0.00337781
15.21110535,0.00247040
15.25878906,0.00226231
15.30647278,0.00229555
15.35415649,0.00184825
15.40184021,0.00237713
15.44952393,0.00436980
15.49720764,0.00519720
15.54489136,0.00423795
15.59257507,0.00291338
15.64025879,0.00266775
15.68794250,0.00384903
15.73562622,0.00440434
15.78330994,0.00335552
15.83099365,0.00161559
15.87867737,0.00146264
15.92636108,0.00190062
15.97404480,0.00175814
16.02172852,0.00154378
16.06941223,0.00141758
16.11709595,0.00103429
16.16477966,0.00045083
16.21246338,0.00345742
16.26014709,0.00589389
16.30783081,0.00671287
16.35551453,0.00727780
16.40319824,0.00571615
16.45088196,0.00294932
16.49856567,0.00208225
16.54624939,0.00213718
16.59393311,0.00187770
16.64161682,0.00243720
16.68930054,0.00383227
16.73698425,0.00415741
16.78466797,0.00364344
16.83235168,0.00307616
16.88003540,0.00160078
16.92771912,0.00028340
16.97540283,0.00065244
17.02308655,0.00117691
17.07077026,0.00140008
17.11845398,0.00167696
17.16613770,0.00158476
17.21382141,0.00114919
17.26150513,0.00168838
17.30918884,0.00289548
17.35687256,0.00295818
17.40455627,0.00184184
17.45223999,0.00603026
17.49992371,0.00944009
17.54760742,0.01066210
17.59529114,0.01062850
17.64297485,0.00691012
17.69065857,0.00256055
17.73834229,0.00147205
17.78602600,0.00170938
17.83370972,0.00154773
17.88139343,0.00166637
17.92907715,0.00181111
17.97676086,0.00157920
18.02444458,0.00348755
18.07212830,0.00731827
18.11981201,0.00894481
18.16749573,0.00923247
18.21517944,0.00927743
18.26286316,0.00640778
18.31054688,0.00339408
18.35823059,0.00291777
18.40591431,0.00246663
18.45359802,0.00178887
18.50128174,0.00252895
18.54896545,0.00367576
18.59664917,0.00305765
18.64433289,0.00308939
18.69201660,0.00871973
18.73970032,0.01188805
18.78738403,0.01272707
18.83506775,0.01142828
18.88275146,0.00594973
18.93043518,0.00116342
18.97811890,0.00112368
19.02580261,0.00127611
19.07348633,0.00117616
19.12117004,0.00151930
19.16885376,0.00144305
19.21653748,0.00186010
19.26422119,0.01595324
19.31190491,0.03480252
19.35958862,0.04163841
19.40727234,0.04241993
19.45495605,0.03771463
19.50263977,0.01989375
19.55032349,0.00551827
19.59800720,0.00254087
19.64569092,0.00202073
19.69337463,0.00169631
19.74105835,0.00226980
19.78874207,0.00287373
19.83642578,0.00677845
19.88410950,0.02669804
19.93179321,0.05062122
19.97947693,0.05706212
20.02716064,0.05714720
20.07484436,0.04887344
20.12252808,0.02386012
20.17021179,0.00586703
20.21789551,0.00284295
20.26557922,0.00207302
20.31326294,0.00163342
20.36094666,0.00226580
20.40863037,0.00304994
20.45631409,0.00703250
20.50399780,0.02364221
20.55168152,0.04133093
20.59936523,0.04479754
20.64704895,0.04377145
20.69473267,0.03501926
20.74241638,0.01467203
20.79010010,0.00145716
20.83778381,0.00125409
20.88546753,0.00146548
20.93315125,0.00141440
20.98083496,0.00159185
21.02851868,0.00133656
21.07620239,0.00204433
21.12388611,0.00821172
21.17156982,0.01428842
21.21925354,0.01540332
21.26693726,0.01459125
21.31462097,0.01051695
21.36230469,0.00355284
21.40998840,0.00279248
21.45767212,0.00314146
21.50535583,0.00196473
21.55303955,0.00131964
21.60072327,0.00196391
21.64840698,0.00231598
21.69609070,0.00280371
21.74377441,0.00555862
21.79145813,0.00780750
21.83914185,0.00771747
21.88682556,0.00771909
21.93450928,0.00626444
21.98219299,0.00309330
22.02987671,0.00192616
22.07756042,0.00200030
22.12524414,0.00165336
22.17292786,0.00158022
22.22061157,0.00164692
22.26829529,0.00134488
22.31597900,0.00295755
22.36366272,0.00790153
22.41134644,0.01139481
22.45903015,0.01123909
22.50671387,0.00999103
22.55439758,0.00612568
22.60208130,0.00188445
22.64976501,0.00279624
22.69744873,0.00253675
22.74513245,0.00145278
22.79281616,0.00120114
22.84049988,0.00172184
22.88818359,0.00178018
22.93586731,0.00152957
22.98355103,0.00137770
23.03123474,0.00124481
23.07891846,0.00100582
23.12660217,0.00110969
23.17428589,0.00249818
23.22196960,0.00334663
23.26965332,0.00400024
23.31733704,0.00362349
23.36502075,0.00223891
23.41270447,0.00184440
23.46038818,0.00222224
23.50807190,0.00225421
23.55575562,0.00323259
23.60343933,0.00614949
23.65112305,0.00759764
23.69880676,0.00710922
23.74649048,0.00641457
23.79417419,0.00398378
23.84185791,0.00102034
23.88954163,0.00085108
23.93722534,0.00134598
23.98490906,0.00137588
24.03259277,0.00148473
24.08027649,0.00142645
24.12796021,0.00102042
24.17564392,0.00181310
24.22332764,0.00394561
24.27101135,0.00485093
24.31869507,0.00405872
24.36637878,0.00291546
24.41406250,0.00341523
24.46174622,0.00486634
24.50942993,0.00563376
24.55711365,0.00446576
24.60479736,0.00241823
24.65248108,0.00190440
24.70016479,0.00221655
24.74784851,0.00209702
24.79553223,0.00230672
24.84321594,0.00284007
24.89089966,0.00255675
24.93858337,0.00246288
24.98626709,0.00328590
25.03395081,0.00341190
25.08163452,0.00330006
25.12931824,0.00385454
25.17700195,0.00351307
25.22468567,0.00264160
25.27236938,0.00256956
25.32005310,0.00223533
25.36773682,0.00163139
25.41542053,0.00276904
25.46310425,0.00485577
25.51078796,0.00526257
25.55847168,0.00433785
25.60615540,0.00311427
25.65383911,0.00292503
25.70152283,0.00392003
25.74920654,0.00402699
25.79689026,0.00255454
25.84457397,0.00107252
25.89225769,0.00110565
25.93994141,0.00133812
25.98762512,0.00117242
26.03530884,0.00122344
26.08299255,0.00139166
26.13067627,0.00111024
26.17835999,0.00144245
26.22604370,0.00464725
26.27372742,0.00653727
26.32141113,0.00727426
26.36909485,0.00742600
26.41677856,0.00509568
26.46446228,0.00264005
26.51214600,0.00235739
26.55982971,0.00225236
26.60751343,0.00181547
26.65519714,0.00247044
26.70288086,0.00352153
26.75056458,0.00333080
26.79824829,0.00301713
26.84593201,0.00254927
26.89361572,0.00119889
26.94129944,0.00010011
26.98898315,0.00089149
27.03666687,0.00157630
27.08435059,0.00205065
27.13203430,0.00250529
27.17971802,0.00208167
27.22740173,0.00157918
27.27508545,0.00231924
27.32276917,0.00320443
27.37045288,0.00267814
27.41813660,0.00273856
27.46582031,0.00724933
27.51350403,0.00977128
27.56118774,0.01068470
27.60887146,0.00983483
27.65655518,0.00552381
27.70423889,0.00211499
