"nu, hz","U,V","I,mA","nu_sq, kHz^2",1/xi^2,dnu_sq,d1/xi^2,delta_phi,delta_phi_ed
115,0.6933,383.82,0.013225,4053.2975,5.29e-5,14.041034,5.6,1
135,0.7474,372.84,0.018225,4535.3034,7.29e-5,15.710752,4.7,1
155,0.7891,363.29,0.024025,5092.2087,9.61e-5,17.639928,4.1,1
175,0.8208,355.14,0.030625,5733.2461,1.225e-4,19.860547,7.1,0.5
195,0.8456,348.17,0.038025,6446.4700,1.521e-4,22.331227,6.1,0.5
215,0.8647,342.18,0.046225,7238.6111,1.849e-4,25.075284,5.5,0.5
240,0.8829,335.85,0.0576,8334.7035,2.304e-4,28.872260,4.9,0.5
330,0.9159,320.13,0.1089,13304.070,4.356e-4,46.086650,3.5,0.5
420,0.9240,309.98,0.1764,19852.81,7.056e-4,68.772151,6.5,0.2
510,0.9208,302.07,0.2601,27991.419,1.0404e-3,96.965120,5.3,0.2
600,0.9117,295.07,0.36,37709.320,1.44e-3,130.62892,4.5,0.2
690,0.8988,283.42,0.4761,47340.522,1.9044e-3,163.99238,3.8,0.2
780,0.8833,281.33,0.6084,61717.004,2.4336e-3,213.79397,3.4,0.2
870,0.8661,275.28,0.7569,76463.073,3.0276e-3,264.87585,5.8,0.1
960,0.8476,268.74,0.9216,92645.685,3.6864e-3,320.93407,pi,pi
1050,0.8283,262.08,1.1025,110375.08,4.41e-3,382.35049,pi,pi
