"nu, hz","U,V","I,mA",x,x0,psi-pi/4,sqrtnu,dpsi,dsqrtnu
1210,0.7948,250.40,4.1,4.2,0.71059834,34.785054,0.033273312,0.034785054
1440,0.7437,234.00,3.5,3.6,0.69813170,37.947332,0.038741945,0.037947332
1700,0.6877,216.48,6.1,6.0,0.83775804,41.231056,0.023767456,0.041231056
2020,0.6242,196.86,5.2,5.0,0.91106187,44.944410,0.028855502,0.04494441
2400,0.5576,176.49,4.5,4.2,1.0097976,48.989795,0.034895042,0.048989795
2840,0.4921,156.60,3.9,3.6,1.0471976,53.291650,0.040953255,0.05329165
3360,0.4286,137.42,3.4,3.0,1.2042772,57.965507,0.050381262,0.057965507
3980,0.3682,119.32,7.1,6.3,1.1843306,63.087241,0.023915601,0.063087241
4720,0.3121,102.61,6.2,5.4,1.2508193,68.702256,0.028195891,0.068702256
5600,0.2615,87.56,5.4,4.5,1.4137167,74.833148,0.034712221,0.074833148
6630,0.2170,74.44,4.7,3.8,1.5294596,81.424812,0.041855992,0.081424812
7860,0.1776,62.71,4.1,3.2,1.6689711,88.656641,0.050790639,0.088656641
9320,0.1436,52.39,7.2,5.4,1.8325957,96.540147,0.030864198,0.096540147
11050,0.1135,42.762,6.3,4.6,1.9464215,105.11898,0.036865033,0.10511898
13100,0.0901,34.320,5.6,3.9,2.1548103,114.45523,0.044866677,0.11445523
15500,0.0713,27.690,5.0,3.3,2.4037944,124.49900,0.055012179,0.124499
18400,0.0564,20.985,4.2,2.7,2.5307274,135.64660,0.068491016,0.1356466
21800,0.0454,14.724,3.9,2.3,2.9708539,147.64823,0.085589652,0.14764823
25850,0.0375,8.618,6.8,3.9,3.1214542,160.77935,0.051538495,0.16077935
30600,0.0314,2.9404,6.0,3.4,3.1877925,174.92856,0.059657231,0.17492856
